hominum,rdnumber,CaseNumber,Date2,year,trac2000,location,locatinr,LocationDescription,ArrestD,DomesticD,gridid,X_MetCent,Y_MetCent,All_Inside,YearFive,Population
65048,D045915, ,,1965,431000,2400,7, ,1,0,20001,361890.973255,565522.757678,1,1965 to 1969,3550404.0
65049,D046952, ,,1965,611400,2301,10, ,0,0,27877,354990.973255,570622.757678,1,1965 to 1969,3550404.0
65050,D047923, ,,1965,601100,1202,5, ,1,0,33719,357540.973255,574372.757678,1,1965 to 1969,3550404.0
65051,D038217, ,,1965,290700,7001,6, ,1,0,38333,350640.973255,577372.757678,1,1965 to 1969,3550404.0
65052,D048535, ,,1965,380400,1115,3, ,1,0,31166,359040.973255,572722.757678,1,1965 to 1969,3550404.0
65053,D049236, ,,1965,32100,1101,1, ,0,1,53748,356190.973255,587272.757678,1,1965 to 1969,3550404.0
65054,D046742, ,,1965,680200,2100,9, ,1,0,23934,357690.973255,568072.757678,1,1965 to 1969,3550404.0
65055,D052612, ,,1965,350600,1101,1, ,1,0,33496,359040.973255,574222.757678,1,1965 to 1969,3550404.0
65056,D052843, ,,1965,31300,2200,9, ,1,0,57010,356190.973255,589372.757678,1,1965 to 1969,3550404.0
65057,D045429, ,,1965,360400,2100,9, ,1,0,30014,360990.973255,571972.757678,1,1965 to 1969,3550404.0
65058,D056796, ,,1965,670200,1101,1, ,0,0,26019,355890.973255,569422.757678,1,1965 to 1969,3550404.0
65059,D060278, ,,1965,271300,1101,1, ,1,1,40671,351840.973255,578872.757678,1,1965 to 1969,3550404.0
65060,D060583, ,,1965,390300,2100,9, ,1,0,29311,360390.973255,571522.757678,1,1965 to 1969,3550404.0
65061,D060521, ,,1965,270400,1115,3, ,1,0,42066,351390.973255,579772.757678,1,1965 to 1969,3550404.0
65062,D060494, ,,1965,271200,2100,9, ,1,0,40907,352290.973255,579022.757678,1,1965 to 1969,3550404.0
65063,D060462, ,,1965,290500,1202,5, ,1,0,38338,351390.973255,577372.757678,1,1965 to 1969,3550404.0
65064,D060621, ,,1965,290900,2301,10, ,1,0,38095,349890.973255,577222.757678,1,1965 to 1969,3550404.0
65065,D060849, ,,1965,230700,1101,1, ,0,1,45787,350340.973255,582172.757678,1,1965 to 1969,3550404.0
65067,D061505, ,,1965,300600,1101,1, ,1,0,34841,351090.973255,575122.757678,1,1965 to 1969,3550404.0
65068,D061712, ,,1965,400600,2100,9, ,1,0,24640,358740.973255,568522.757678,1,1965 to 1969,3550404.0
65069,D062099, ,,1965,230600,1101,1, ,1,1,45316,349590.973255,581872.757678,1,1965 to 1969,3550404.0
65070,D063452, ,,1965,70400,2100,9, ,1,0,49321,356190.973255,584422.757678,1,1965 to 1969,3550404.0
65071,D064410, ,,1965,381600,1501,1, ,1,1,29300,358740.973255,571522.757678,1,1965 to 1969,3550404.0
65072,D065467, ,,1965,350800,2200,9, ,1,0,33730,359190.973255,574372.757678,1,1965 to 1969,3550404.0
65073,D066143, ,,1965,390100,1115,3, ,1,0,29783,361290.973255,571822.757678,1,1965 to 1969,3550404.0
65074,D068362, ,,1965,270700,1101,1, ,1,0,41141,352440.973255,579172.757678,1,1965 to 1969,3550404.0
65075,D069156, ,,1965,360500,1115,3, ,1,0,30243,360390.973255,572122.757678,1,1965 to 1969,3550404.0
65076,D066121, ,,1965,270300,1201,6, ,0,0,41604,351990.973255,579472.757678,1,1965 to 1969,3550404.0
65077,D072656, ,,1965,421000,1101,1, ,1,1,23027,361440.973255,567472.757678,1,1965 to 1969,3550404.0
65078,D074023, ,,1965,20400,1101,1, ,1,0,63051,353640.973255,593272.757678,1,1965 to 1969,3550404.0
65079,D074619, ,,1965,280800,1501,1, ,1,0,40916,353640.973255,579022.757678,1,1965 to 1969,3550404.0
65080,D074655, ,,1965,390700,2400,7, ,1,0,28856,362040.973255,571222.757678,0,1965 to 1969,3550404.0
65081,D075162, ,,1965,271200,2301,10, ,1,0,40442,352440.973255,578722.757678,1,1965 to 1969,3550404.0
65082,D075201, ,,1965,200300,1308,6, ,1,0,48344,349440.973255,583822.757678,1,1965 to 1969,3550404.0
65083,D075640, ,,1965,301500,1101,1, ,1,1,33681,351840.973255,574372.757678,1,1965 to 1969,3550404.0
65084,D076186, ,,1965,271700,1202,5, ,1,0,39275,352140.973255,577972.757678,1,1965 to 1969,3550404.0
65085,D076320, ,,1965,271300,1202,5, ,1,0,40207,352140.973255,578572.757678,1,1965 to 1969,3550404.0
65086,D074618, ,,1965,310900,2100,9, ,1,0,36727,354390.973255,576322.757678,1,1965 to 1969,3550404.0
65087,D076571, ,,1965,400400,1308,6, ,0,0,25342,359190.973255,568972.757678,1,1965 to 1969,3550404.0
65088,D077801, ,,1965,380900,1101,1, ,1,1,29773,359790.973255,571822.757678,1,1965 to 1969,3550404.0
65089,D078315, ,,1965,291800,2301,10, ,1,1,37178,352140.973255,576622.757678,1,1965 to 1969,3550404.0
65090,D079406, ,,1965,292200,1101,1, ,0,0,37171,351090.973255,576622.757678,1,1965 to 1969,3550404.0
65091,D085931, ,,1965,400400,2100,9, ,1,0,26041,359190.973255,569422.757678,1,1965 to 1969,3550404.0
65092,D087284, ,,1965,310600,2301,10, ,1,0,37439,356340.973255,576772.757678,1,1965 to 1969,3550404.0
65093,D087327, ,,1965,381600,2100,9, ,1,0,29300,358740.973255,571522.757678,1,1965 to 1969,3550404.0
65094,D087942, ,,1965,390200,1106,3, ,1,0,29781,360990.973255,571822.757678,1,1965 to 1969,3550404.0
