hominum,rdnumber,CaseNumber,Date2,year,trac2000,location,locatinr,LocationDescription,ArrestD,DomesticD,gridid,X_MetCent,Y_MetCent,All_Inside,YearFive,Population
78719,z445371, ,,1978,680100,1101,1, ,1,0,25570,358440.973255,569122.757678,1,1975 to 1979,3062881.0
78720,z446862, ,,1978,380400,1101,1, ,1,0,30931,358740.973255,572572.757678,1,1975 to 1979,3062881.0
78721,z447653, ,,1978,282700,2800,10, ,0,0,39517,353490.973255,578122.757678,1,1975 to 1979,3062881.0
78722,z447968, ,,1978,540100,1501,1, ,1,0,1824,361440.973255,553822.757678,1,1975 to 1979,3062881.0
78723,z440818, ,,1978,671700,1100,3, ,1,0,22059,356040.973255,566872.757678,1,1975 to 1979,3062881.0
78724,z448071, ,,1978,370300,1107,1, ,1,1,27898,358140.973255,570622.757678,1,1975 to 1979,3062881.0
78725,z448950, ,,1978,40600,2100,9, ,1,0,55595,353640.973255,588472.757678,1,1975 to 1979,3062881.0
78726,z448833, ,,1978,381800,1101,1, ,0,0,28137,359040.973255,570772.757678,1,1975 to 1979,3062881.0
78727,z449944, ,,1978,611900,2100,9, ,1,0,26949,355590.973255,570022.757678,1,1975 to 1979,3062881.0
78728,z450179, ,,1978,280500,2100,9, ,1,0,41619,354240.973255,579472.757678,1,1975 to 1979,3062881.0
78729,z451428, ,,1978,730500,1107,1, ,0,0,11352,357690.973255,559972.757678,1,1975 to 1979,3062881.0
78730,z451451, ,,1978,670500,2100,9, ,0,0,23680,354540.973255,567922.757678,1,1975 to 1979,3062881.0
78731,z451947, ,,1978,430700,1101,1, ,1,0,20946,363840.973255,566122.757678,1,1975 to 1979,3062881.0
78732,z452158, ,,1978,281500,2100,9, ,1,0,40689,354540.973255,578872.757678,1,1975 to 1979,3062881.0
78733,z452535, ,,1978,380400,1300,6, ,0,0,30232,358740.973255,572122.757678,1,1975 to 1979,3062881.0
78734,a421949, ,,1978,80800,1501,1, ,0,0,44204,357540.973255,581122.757678,1,1975 to 1979,3062881.0
78735,z453176, ,,1978,281900,2400,7, ,0,0,40940,357240.973255,579022.757678,1,1975 to 1979,3062881.0
78736,z453630, ,,1978,150800,1107,1, ,0,0,53228,348090.973255,586972.757678,1,1975 to 1979,3062881.0
78737,z453830, ,,1978,50800,2300,9, ,1,0,51869,353940.973255,586072.757678,1,1975 to 1979,3062881.0
78738,z455139, ,,1978,30600,2100,9, ,1,0,58872,355890.973255,590572.757678,1,1975 to 1979,3062881.0
78739,z455201, ,,1978,301600,2100,9, ,0,0,33912,351540.973255,574522.757678,1,1975 to 1979,3062881.0
78740,z455834, ,,1978,81300,1307,6, ,1,0,43980,358890.973255,580972.757678,1,1975 to 1979,3062881.0
78741,z455237, ,,1978,283900,7001,6, ,1,0,38602,356040.973255,577522.757678,1,1975 to 1979,3062881.0
78742,z456913, ,,1978,530300,2200,9, ,0,0,6684,356490.973255,556972.757678,1,1975 to 1979,3062881.0
78743,z456900, ,,1978,31200,1101,1, ,1,1,57009,356040.973255,589372.757678,1,1975 to 1979,3062881.0
78744,z456349, ,,1978,290900,2700,10, ,1,0,38330,350190.973255,577372.757678,1,1975 to 1979,3062881.0
78745,z457267, ,,1978,440100,1101,1, ,1,0,17662,360540.973255,564022.757678,1,1975 to 1979,3062881.0
78746,z459144, ,,1978,400200,2100,9, ,0,0,26504,358740.973255,569722.757678,1,1975 to 1979,3062881.0
78747,z459436, ,,1978,430100,1101,1, ,1,0,21640,363090.973255,566572.757678,1,1975 to 1979,3062881.0
78748,z459261, ,,1978,31200,1202,5, ,1,0,56311,356190.973255,588922.757678,1,1975 to 1979,3062881.0
78749,z460883, ,,1978,400800,1101,1, ,0,0,24644,359340.973255,568522.757678,1,1975 to 1979,3062881.0
78750,z460886, ,,1978,430100,1115,3, ,1,0,22341,363390.973255,567022.757678,1,1975 to 1979,3062881.0
78751,z460921, ,,1978,80800,1501,1, ,1,0,44669,357390.973255,581422.757678,1,1975 to 1979,3062881.0
78752,z460966, ,,1978,490300,2200,9, ,0,0,14858,359340.973255,562222.757678,1,1975 to 1979,3062881.0
78753,z462296, ,,1978,670200,1202,5, ,1,0,25318,355590.973255,568972.757678,1,1975 to 1979,3062881.0
78754,z462296, ,,1978,670200,1202,5, ,1,0,25318,355590.973255,568972.757678,1,1975 to 1979,3062881.0
78755,z462743, ,,1978,470100,2800,10, ,0,0,14408,361740.973255,561922.757678,1,1975 to 1979,3062881.0
78756,z463372, ,,1978,681300,2301,10, ,0,0,20206,357690.973255,565672.757678,1,1975 to 1979,3062881.0
78757,z464015, ,,1978,230900,1101,1, ,0,0,45796,351690.973255,582172.757678,1,1975 to 1979,3062881.0
78758,z465196, ,,1978,530100,1101,1, ,1,0,6471,359490.973255,556822.757678,1,1975 to 1979,3062881.0
78759,z465196, ,,1978,530100,1101,1, ,1,0,6471,359490.973255,556822.757678,1,1975 to 1979,3062881.0
78760,z465184, ,,1978,370300,2100,9, ,0,0,28364,358140.973255,570922.757678,1,1975 to 1979,3062881.0
78761,z464940, ,,1978,241400,1202,5, ,1,0,46047,354390.973255,582322.757678,1,1975 to 1979,3062881.0
78762,z466511, ,,1978,31400,2300,9, ,0,0,55150,356790.973255,588172.757678,1,1975 to 1979,3062881.0
78763,z466653, ,,1978,260500,1202,5, ,0,0,40888,349440.973255,579022.757678,1,1975 to 1979,3062881.0
78764,z466789, ,,1978,410100,1101,1, ,0,0,27456,361740.973255,570322.757678,1,1975 to 1979,3062881.0
78765,z467265, ,,1978,320400,2200,9, ,1,0,40251,358740.973255,578572.757678,1,1975 to 1979,3062881.0
78766,z467634, ,,1978,252100,1312,6, ,1,0,40635,346440.973255,578872.757678,0,1975 to 1979,3062881.0
78767,z467924, ,,1978,160400,2400,7, ,1,1,53713,350940.973255,587272.757678,1,1975 to 1979,3062881.0
78768,z468096, ,,1978,281700,2400,7, ,0,0,40928,355440.973255,579022.757678,1,1975 to 1979,3062881.0
78769,z468205, ,,1978,31100,2907,7, ,0,0,57007,355740.973255,589372.757678,1,1975 to 1979,3062881.0
78770,z469090, ,,1978,271100,2100,9, ,0,0,40910,352740.973255,579022.757678,1,1975 to 1979,3062881.0
78771,z469148, ,,1978,681100,1101,1, ,1,0,21830,356640.973255,566722.757678,1,1975 to 1979,3062881.0
78772,z465896, ,,1978,350400,1501,1, ,1,0,34192,358590.973255,574672.757678,1,1975 to 1979,3062881.0
78773,z469582, ,,1978,540100,3104,10, ,0,0,2058,361590.973255,553972.757678,1,1975 to 1979,3062881.0
78774,z470002, ,,1978,460400,1101,1, ,1,0,18385,364140.973255,564472.757678,1,1975 to 1979,3062881.0
78775,z459317, ,,1978,242100,2100,9, ,1,0,44885,354840.973255,581572.757678,1,1975 to 1979,3062881.0
78776,z471911, ,,1978,300900,1202,5, ,0,0,35781,352290.973255,575722.757678,1,1975 to 1979,3062881.0
78777,z430673, ,,1978,381500,1101,1, ,0,0,29069,359040.973255,571372.757678,1,1975 to 1979,3062881.0
78778,z327476, ,,1978,81500,2301,10, ,0,0,42582,358890.973255,580072.757678,1,1975 to 1979,3062881.0
78779,z473478, ,,1978,30700,1115,3, ,0,0,57708,356040.973255,589822.757678,1,1975 to 1979,3062881.0
78780,z473619, ,,1978,80500,1501,1, ,0,0,44901,357240.973255,581572.757678,1,1975 to 1979,3062881.0
78781,z473619, ,,1978,80500,1501,1, ,0,0,44901,357240.973255,581572.757678,1,1975 to 1979,3062881.0
78782,z473700, ,,1978,491300,2100,9, ,1,0,8563,358740.973255,558172.757678,1,1975 to 1979,3062881.0
78783,z474332, ,,1978,530500,1300,6, ,1,0,5999,358590.973255,556522.757678,1,1975 to 1979,3062881.0
78784,z474636, ,,1978,360500,1115,3, ,1,0,30709,360390.973255,572422.757678,1,1975 to 1979,3062881.0
78785,z471505, ,,1978,550100,2600,10, ,0,0,6515,366090.973255,556822.757678,1,1975 to 1979,3062881.0
78786,z476506, ,,1978,390300,1115,3, ,0,0,29312,360540.973255,571522.757678,1,1975 to 1979,3062881.0
78787,z476659, ,,1978,242500,2100,9, ,0,0,44177,353490.973255,581122.757678,1,1975 to 1979,3062881.0
79021,z459254, ,,1978,283900,1501,1, ,1,1,38365,355440.973255,577372.757678,1,1975 to 1979,3062881.0
79078,z419011, ,,1978,540100,1501,1, ,0,0,1824,361440.973255,553822.757678,1,1975 to 1979,3062881.0
79090,z476399, ,,1978,243500,2800,10, ,1,0,43267,356790.973255,580522.757678,1,1975 to 1979,3062881.0
79163,z259543, ,,1978,431300,1305,5, ,1,0,20248,363990.973255,565672.757678,1,1975 to 1979,3062881.0
79198,Z469819, ,,1978,431400,1101,1, ,1,1,20484,364440.973255,565822.757678,1,1975 to 1979,3062881.0
79267,Z426291, ,,1978,292500,2100,9, ,0,0,36230,349740.973255,576022.757678,1,1975 to 1979,3062881.0
79402,z430690, ,,1978,470100,1101,1, ,1,1,14404,361140.973255,561922.757678,1,1975 to 1979,3062881.0
85050234,Z143713, ,,1978,390200,2100,9, ,1,0,30014,360990.973255,571972.757678,1,1975 to 1979,3062881.0
79001,A000032, ,,1979,711300,2400,7, ,0,0,15996,355290.973255,562972.757678,1,1975 to 1979,3062881.0
79002,A000074, ,,1979,80700,2907,7, ,1,0,44899,356940.973255,581572.757678,1,1975 to 1979,3062881.0
79003,A000170, ,,1979,310200,2200,9, ,0,0,36279,357090.973255,576022.757678,1,1975 to 1979,3062881.0
79004,a000279, ,,1979,242100,2100,9, ,1,0,43723,355290.973255,580822.757678,1,1975 to 1979,3062881.0
79005,a000817, ,,1979,301100,1202,5, ,1,0,35550,352590.973255,575572.757678,1,1975 to 1979,3062881.0
79006,A001909, ,,1979,241400,1101,1, ,0,0,46046,354240.973255,582322.757678,1,1975 to 1979,3062881.0
79007,Z475631, ,,1979,671900,1101,1, ,0,0,20427,355890.973255,565822.757678,1,1975 to 1979,3062881.0
79008,A001992, ,,1979,390300,2301,10, ,0,0,29079,360540.973255,571372.757678,1,1975 to 1979,3062881.0
79009,a002849, ,,1979,491000,1101,1, ,1,1,9261,358590.973255,558622.757678,1,1975 to 1979,3062881.0
79010,a004973, ,,1979,271200,1101,1, ,1,0,40440,352140.973255,578722.757678,1,1975 to 1979,3062881.0
79011,A005998, ,,1979,241000,2200,9, ,0,0,45806,353190.973255,582172.757678,1,1975 to 1979,3062881.0
79012,a005968, ,,1979,260600,1101,1, ,1,0,39957,349590.973255,578422.757678,1,1975 to 1979,3062881.0
79013,a006028, ,,1979,351500,1504,3, ,1,0,31396,358590.973255,572872.757678,1,1975 to 1979,3062881.0
79014,A000067, ,,1979,351500,2100,9, ,0,0,32095,358590.973255,573322.757678,1,1975 to 1979,3062881.0
79015,A000136, ,,1979,283800,1501,1, ,0,0,38604,356340.973255,577522.757678,1,1975 to 1979,3062881.0
79016,A006362, ,,1979,252100,1101,1, ,1,1,39714,348090.973255,578272.757678,1,1975 to 1979,3062881.0
79017,A006396, ,,1979,351500,1501,1, ,1,0,32329,358740.973255,573472.757678,1,1975 to 1979,3062881.0
79018,A006831, ,,1979,530400,2100,9, ,0,0,4818,356190.973255,555772.757678,0,1975 to 1979,3062881.0
79019,A006723, ,,1979,660800,2100,9, ,1,0,22745,354090.973255,567322.757678,1,1975 to 1979,3062881.0
79020,A006901, ,,1979,241100,1100,3, ,1,0,44875,353340.973255,581572.757678,1,1975 to 1979,3062881.0
79022,A004853, ,,1979,530500,2200,9, ,1,0,4598,358140.973255,555622.757678,1,1975 to 1979,3062881.0
79023,A010775, ,,1979,380800,1116,3, ,0,0,29303,359190.973255,571522.757678,1,1975 to 1979,3062881.0
79024,A011290, ,,1979,242000,1202,5, ,0,0,44888,355290.973255,581572.757678,1,1975 to 1979,3062881.0
79025,A012753, ,,1979,380600,1501,1, ,1,0,29766,358740.973255,571822.757678,1,1975 to 1979,3062881.0
79026,A012325, ,,1979,400800,1101,1, ,1,0,24177,359190.973255,568222.757678,1,1975 to 1979,3062881.0
79027,A013814, ,,1979,284100,1202,5, ,1,1,38358,354390.973255,577372.757678,1,1975 to 1979,3062881.0
79028,A015327, ,,1979,210300,1101,1, ,1,0,51379,350340.973255,585772.757678,1,1975 to 1979,3062881.0
79029,A015367, ,,1979,230900,2100,9, ,1,0,45563,351690.973255,582022.757678,1,1975 to 1979,3062881.0
79030,A016408, ,,1979,230800,1202,5, ,1,0,46027,351390.973255,582322.757678,1,1975 to 1979,3062881.0
79031,A016895, ,,1979,81400,1406,6, ,1,1,43516,359190.973255,580672.757678,1,1975 to 1979,3062881.0
79032,A018235, ,,1979,400300,1107,1, ,1,0,26508,359340.973255,569722.757678,1,1975 to 1979,3062881.0
79033,A018540, ,,1979,31700,1101,1, ,1,0,55608,355590.973255,588472.757678,1,1975 to 1979,3062881.0
79034,A017544, ,,1979,32000,1101,1, ,0,0,54213,356040.973255,587572.757678,1,1975 to 1979,3062881.0
79035,A019500, ,,1979,671700,1201,6, ,1,0,21596,356490.973255,566572.757678,1,1975 to 1979,3062881.0
79036,A019294, ,,1979,283900,1501,1, ,1,0,37899,355440.973255,577072.757678,1,1975 to 1979,3062881.0
79037,A019647, ,,1979,430100,1101,1, ,1,0,22573,363240.973255,567172.757678,1,1975 to 1979,3062881.0
79038,a019505, ,,1979,680100,1101,1, ,1,0,26036,358440.973255,569422.757678,1,1975 to 1979,3062881.0
79039,A019407, ,,1979,350700,2100,9, ,1,0,32566,359340.973255,573622.757678,1,1975 to 1979,3062881.0
79040,A019007, ,,1979,31300,1107,1, ,1,0,57244,356340.973255,589522.757678,1,1975 to 1979,3062881.0
79041,A020158, ,,1979,681100,2200,9, ,1,0,21830,356640.973255,566722.757678,1,1975 to 1979,3062881.0
79042,A020137, ,,1979,310800,2200,9, ,1,0,36499,355140.973255,576172.757678,1,1975 to 1979,3062881.0
79043,A020150, ,,1979,382000,1107,1, ,1,0,28611,360240.973255,571072.757678,1,1975 to 1979,3062881.0
79044,A020847, ,,1979,310200,1204,6, ,1,0,37212,357240.973255,576622.757678,1,1975 to 1979,3062881.0
79045,A020922, ,,1979,71000,1101,1, ,1,1,47922,356040.973255,583522.757678,1,1975 to 1979,3062881.0
79046,A021160, ,,1979,420900,1109,2, ,1,0,23492,361290.973255,567772.757678,1,1975 to 1979,3062881.0
79047,A021368, ,,1979,260100,1202,5, ,0,0,41594,350490.973255,579472.757678,1,1975 to 1979,3062881.0
79048,A019028, ,,1979,250400,1101,1, ,0,0,46226,346290.973255,582472.757678,1,1975 to 1979,3062881.0
79049,A023194, ,,1979,62100,2400,7, ,1,0,52118,356340.973255,586222.757678,1,1975 to 1979,3062881.0
79050,A023407, ,,1979,283900,1101,1, ,1,0,38132,355440.973255,577222.757678,1,1975 to 1979,3062881.0
79051,A024521, ,,1979,300500,2100,9, ,0,0,35771,350790.973255,575722.757678,1,1975 to 1979,3062881.0
79052,Z024300, ,,1979,31500,1119,3, ,1,0,55614,356490.973255,588472.757678,1,1975 to 1979,3062881.0
79053,A015101, ,,1979,670900,2100,9, ,0,0,23692,356340.973255,567922.757678,1,1975 to 1979,3062881.0
79054,A025396, ,,1979,260200,1115,3, ,0,0,41125,350040.973255,579172.757678,1,1975 to 1979,3062881.0
79055,A025842, ,,1979,30200,1115,3, ,1,0,61196,354990.973255,592072.757678,1,1975 to 1979,3062881.0
79056,A017325, ,,1979,241000,2800,10, ,0,0,45806,353190.973255,582172.757678,1,1975 to 1979,3062881.0
79057,A029248, ,,1979,300200,1308,6, ,1,0,36018,352890.973255,575872.757678,1,1975 to 1979,3062881.0
79058,A029685, ,,1979,281900,2100,9, ,0,0,40938,356940.973255,579022.757678,1,1975 to 1979,3062881.0
79059,A028927, ,,1979,280500,2400,7, ,0,0,41616,353790.973255,579472.757678,1,1975 to 1979,3062881.0
79060,A032152, ,,1979,381700,3004,4, ,1,0,28368,358740.973255,570922.757678,1,1975 to 1979,3062881.0
79061,A032822, ,,1979,730300,1101,1, ,0,0,14834,355740.973255,562222.757678,1,1975 to 1979,3062881.0
79062,A033376, ,,1979,251900,1101,1, ,1,1,40874,347340.973255,579022.757678,1,1975 to 1979,3062881.0
79063,A034407, ,,1979,281800,1109,2, ,1,0,41168,356490.973255,579172.757678,1,1975 to 1979,3062881.0
79064,A034772, ,,1979,280300,1101,1, ,0,0,41164,355890.973255,579172.757678,1,1975 to 1979,3062881.0
79065,A035026, ,,1979,381400,1109,2, ,1,1,29071,359340.973255,571372.757678,1,1975 to 1979,3062881.0
79066,A036864, ,,1979,440100,2100,9, ,1,0,17432,360990.973255,563872.757678,1,1975 to 1979,3062881.0
79067,A037263, ,,1979,400600,2100,9, ,0,0,25338,358590.973255,568972.757678,1,1975 to 1979,3062881.0
79068,A037837, ,,1979,431300,1101,1, ,1,0,20016,364140.973255,565522.757678,1,1975 to 1979,3062881.0
79069,A038504, ,,1979,291200,2100,9, ,0,0,37639,351390.973255,576922.757678,1,1975 to 1979,3062881.0
79070,A038660, ,,1979,62200,2100,9, ,1,0,51186,356340.973255,585622.757678,1,1975 to 1979,3062881.0
79071,A038910, ,,1979,240900,2600,10, ,1,0,45800,352290.973255,582172.757678,1,1975 to 1979,3062881.0
79072,A039083, ,,1979,81600,1101,1, ,1,0,43278,358440.973255,580522.757678,1,1975 to 1979,3062881.0
79073,A039361, ,,1979,370200,2303,4, ,1,1,29064,358290.973255,571372.757678,1,1975 to 1979,3062881.0
79074,A039694, ,,1979,680100,1107,1, ,1,0,26036,358440.973255,569422.757678,1,1975 to 1979,3062881.0
79075,A051405, ,,1979,280100,2700,10, ,1,0,42106,357390.973255,579772.757678,1,1975 to 1979,3062881.0
79076,A039780, ,,1979,400500,1202,5, ,1,0,25107,358890.973255,568822.757678,1,1975 to 1979,3062881.0
79077,A039810, ,,1979,301800,1202,5, ,1,0,33673,350640.973255,574372.757678,1,1975 to 1979,3062881.0
79079,A037209, ,,1979,381000,1115,3, ,1,0,29311,360390.973255,571522.757678,1,1975 to 1979,3062881.0
79080,A041196, ,,1979,240300,1202,5, ,0,0,46514,354540.973255,582622.757678,1,1975 to 1979,3062881.0
79081,A043033, ,,1979,420300,1101,1, ,1,1,24189,360990.973255,568222.757678,1,1975 to 1979,3062881.0
79082,A022276, ,,1979,70100,1109,2, ,0,0,50027,357240.973255,584872.757678,1,1975 to 1979,3062881.0
79083,A044831, ,,1979,32100,1101,1, ,0,0,53982,356340.973255,587422.757678,1,1975 to 1979,3062881.0
79084,A046382, ,,1979,461000,2100,9, ,1,0,14898,365340.973255,562222.757678,1,1975 to 1979,3062881.0
79085,A047469, ,,1979,302000,2100,9, ,1,0,33211,351240.973255,574072.757678,1,1975 to 1979,3062881.0
79086,A047500, ,,1979,291200,2303,4, ,1,0,38105,351390.973255,577222.757678,1,1975 to 1979,3062881.0
79087,A012978, ,,1979,351300,2100,9, ,1,0,32566,359340.973255,573622.757678,1,1975 to 1979,3062881.0
79088,A048185, ,,1979,140300,1101,1, ,1,1,56041,350640.973255,588772.757678,1,1975 to 1979,3062881.0
79089,A047659, ,,1979,282700,2100,9, ,1,0,39286,353790.973255,577972.757678,1,1975 to 1979,3062881.0
79091,A047848, ,,1979,612200,2100,9, ,0,0,27196,357690.973255,570172.757678,1,1975 to 1979,3062881.0
79092,A048745, ,,1979,252100,1304,6, ,1,0,40638,346890.973255,578872.757678,1,1975 to 1979,3062881.0
79093,A049902, ,,1979,612200,1305,5, ,1,0,27426,357240.973255,570322.757678,1,1975 to 1979,3062881.0
79094,A050468, ,,1979,680900,1401,11, ,0,0,22769,357690.973255,567322.757678,1,1975 to 1979,3062881.0
79095,A051875, ,,1979,291500,1501,1, ,1,0,37650,353040.973255,576922.757678,1,1975 to 1979,3062881.0
79096,A052214, ,,1979,351400,2100,9, ,1,0,32329,358740.973255,573472.757678,1,1975 to 1979,3062881.0
79097,A052335, ,,1979,291000,1101,1, ,1,0,37867,350640.973255,577072.757678,1,1975 to 1979,3062881.0
79098,A053513, ,,1979,690400,1202,5, ,1,0,22081,359340.973255,566872.757678,1,1975 to 1979,3062881.0
79099,A041693, ,,1979,431300,1101,1, ,1,0,20016,364140.973255,565522.757678,1,1975 to 1979,3062881.0
79100,A054950, ,,1979,280400,1501,1, ,1,0,41389,354690.973255,579322.757678,1,1975 to 1979,3062881.0
79101,A038660, ,,1979,62200,2100,9, ,1,0,51186,356340.973255,585622.757678,1,1975 to 1979,3062881.0
79102,A056450, ,,1979,281600,1101,1, ,1,1,40461,355290.973255,578722.757678,1,1975 to 1979,3062881.0
79103,A056988, ,,1979,301700,1202,5, ,1,0,34376,351240.973255,574822.757678,1,1975 to 1979,3062881.0
79104,A057151, ,,1979,300400,2100,9, ,0,0,36245,351990.973255,576022.757678,1,1975 to 1979,3062881.0
79105,A057714, ,,1979,170100,1420,6, ,1,0,54136,344490.973255,587572.757678,0,1975 to 1979,3062881.0
79106,A058825, ,,1979,31500,1400,11, ,0,0,56079,356340.973255,588772.757678,1,1975 to 1979,3062881.0
79107,A059772, ,,1979,242600,1101,1, ,1,0,44641,353190.973255,581422.757678,1,1975 to 1979,3062881.0
79108,A059772, ,,1979,242600,1101,1, ,1,0,44641,353190.973255,581422.757678,1,1975 to 1979,3062881.0
79109,A059844, ,,1979,420400,1101,1, ,0,0,23955,360840.973255,568072.757678,1,1975 to 1979,3062881.0
79110,A059630, ,,1979,30700,1101,1, ,1,0,58639,355890.973255,590422.757678,1,1975 to 1979,3062881.0
79111,A062454, ,,1979,400800,2100,9, ,0,0,24412,359490.973255,568372.757678,1,1975 to 1979,3062881.0
79112,A062938, ,,1979,311500,2700,10, ,1,0,35573,356040.973255,575572.757678,1,1975 to 1979,3062881.0
79113,A062986, ,,1979,240900,2301,10, ,1,0,44171,352590.973255,581122.757678,1,1975 to 1979,3062881.0
79114,A063611, ,,1979,292400,2800,10, ,1,0,36702,350640.973255,576322.757678,1,1975 to 1979,3062881.0
79115,A065716, ,,1979,60100,2400,7, ,1,0,54907,355290.973255,588022.757678,1,1975 to 1979,3062881.0
79116,A065716, ,,1979,60100,2400,7, ,1,0,54907,355290.973255,588022.757678,1,1975 to 1979,3062881.0
79117,A065716, ,,1979,60100,2400,7, ,1,0,54907,355290.973255,588022.757678,1,1975 to 1979,3062881.0
79118,A065692, ,,1979,400500,1115,3, ,0,0,26039,358890.973255,569422.757678,1,1975 to 1979,3062881.0
79119,A066002, ,,1979,601000,1101,1, ,0,1,33253,357540.973255,574072.757678,1,1975 to 1979,3062881.0
79120,A065752, ,,1979,430400,2100,9, ,1,0,20934,362040.973255,566122.757678,1,1975 to 1979,3062881.0
79121,A064349, ,,1979,460100,2301,10, ,1,0,17924,364890.973255,564172.757678,1,1975 to 1979,3062881.0
79122,A066887, ,,1979,284000,1101,1, ,1,0,37897,355140.973255,577072.757678,1,1975 to 1979,3062881.0
79123,A068228, ,,1979,260100,1101,1, ,1,0,41362,350640.973255,579322.757678,1,1975 to 1979,3062881.0
79124,A070269, ,,1979,380800,1401,11, ,0,0,29304,359340.973255,571522.757678,1,1975 to 1979,3062881.0
79125,A070931, ,,1979,222500,2200,9, ,1,0,46966,352440.973255,582922.757678,1,1975 to 1979,3062881.0
79126,A071229, ,,1979,251500,2200,9, ,1,0,42506,347490.973255,580072.757678,1,1975 to 1979,3062881.0
79127,A072346, ,,1979,30100,1101,1, ,1,0,61202,355890.973255,592072.757678,1,1975 to 1979,3062881.0
79128,A072583, ,,1979,670200,1201,6, ,1,0,25318,355590.973255,568972.757678,1,1975 to 1979,3062881.0
79129,A072729, ,,1979,291000,2100,9, ,0,0,37168,350640.973255,576622.757678,1,1975 to 1979,3062881.0
79130,A073923, ,,1979,241200,1101,1, ,1,0,45345,353940.973255,581872.757678,1,1975 to 1979,3062881.0
79131,A074055, ,,1979,431300,1202,5, ,1,0,18851,364140.973255,564772.757678,1,1975 to 1979,3062881.0
79132,A074366, ,,1979,310500,1204,6, ,1,0,36740,356340.973255,576322.757678,1,1975 to 1979,3062881.0
79133,A074299, ,,1979,310600,2100,9, ,0,0,36971,356040.973255,576472.757678,1,1975 to 1979,3062881.0
79134,A074531, ,,1979,680200,2100,9, ,0,0,24169,357990.973255,568222.757678,1,1975 to 1979,3062881.0
79135,A074548, ,,1979,420300,1115,3, ,1,0,23957,361140.973255,568072.757678,1,1975 to 1979,3062881.0
79136,A075329, ,,1979,530300,2100,9, ,1,0,7153,356940.973255,557272.757678,1,1975 to 1979,3062881.0
79137,A075329, ,,1979,530300,2100,9, ,1,0,7153,356940.973255,557272.757678,1,1975 to 1979,3062881.0
79138,A075689, ,,1979,240600,2100,9, ,0,0,46039,353190.973255,582322.757678,1,1975 to 1979,3062881.0
79139,A076884, ,,1979,230100,2100,9, ,1,0,46265,352140.973255,582472.757678,1,1975 to 1979,3062881.0
79140,A076905, ,,1979,400500,1305,5, ,1,0,25107,358890.973255,568822.757678,1,1975 to 1979,3062881.0
79141,A076600, ,,1979,283900,1509,1, ,1,1,37904,356190.973255,577072.757678,1,1975 to 1979,3062881.0
79142,A077395, ,,1979,720700,1107,1, ,0,0,10409,356040.973255,559372.757678,1,1975 to 1979,3062881.0
79143,A078100, ,,1979,431100,1101,1, ,0,0,20004,362340.973255,565522.757678,1,1975 to 1979,3062881.0
79144,A078170, ,,1979,280200,1202,5, ,1,0,41636,356790.973255,579472.757678,1,1975 to 1979,3062881.0
79145,A078052, ,,1979,440100,1415,2, ,1,0,17433,361140.973255,563872.757678,1,1975 to 1979,3062881.0
79146,A092187, ,,1979,330200,3106,10, ,1,0,37220,358440.973255,576622.757678,1,1975 to 1979,3062881.0
79147,A079327, ,,1979,280500,1508,3, ,0,0,41386,354240.973255,579322.757678,1,1975 to 1979,3062881.0
79148,A079327, ,,1979,280500,1508,3, ,0,0,41386,354240.973255,579322.757678,1,1975 to 1979,3062881.0
79149,A074643, ,,1979,242000,2100,9, ,0,0,44190,355440.973255,581122.757678,1,1975 to 1979,3062881.0
79150,A079810, ,,1979,62100,1202,5, ,0,0,52118,356340.973255,586222.757678,1,1975 to 1979,3062881.0
79151,A081210, ,,1979,80800,1115,3, ,1,0,44902,357390.973255,581572.757678,1,1975 to 1979,3062881.0
79152,A081328, ,,1979,340600,1504,3, ,1,0,31626,358140.973255,573022.757678,1,1975 to 1979,3062881.0
79153,A081415, ,,1979,310500,2100,9, ,0,0,36973,356340.973255,576472.757678,1,1975 to 1979,3062881.0
79154,A081349, ,,1979,612200,2100,9, ,1,0,26961,357390.973255,570022.757678,1,1975 to 1979,3062881.0
79155,A082623, ,,1979,711200,1401,11, ,1,0,17397,355740.973255,563872.757678,1,1975 to 1979,3062881.0
79156,A082741, ,,1979,600800,2100,9, ,1,0,33017,357090.973255,573922.757678,1,1975 to 1979,3062881.0
79157,A082777, ,,1979,31500,1101,1, ,1,0,56079,356340.973255,588772.757678,1,1975 to 1979,3062881.0
79158,A083471, ,,1979,351500,1503,3, ,1,0,31396,358590.973255,572872.757678,1,1975 to 1979,3062881.0
79159,A084001, ,,1979,320600,1415,2, ,1,0,39552,358740.973255,578122.757678,1,1975 to 1979,3062881.0
79160,A084813, ,,1979,62700,2100,9, ,1,0,50946,355290.973255,585472.757678,1,1975 to 1979,3062881.0
79161,A079890, ,,1979,310500,1202,5, ,1,0,36972,356190.973255,576472.757678,1,1975 to 1979,3062881.0
79162,A085195, ,,1979,280700,1101,1, ,1,0,41148,353490.973255,579172.757678,1,1975 to 1979,3062881.0
79164,A064874, ,,1979,611200,1107,1, ,1,0,28349,355890.973255,570922.757678,1,1975 to 1979,3062881.0
79165,A086465, ,,1979,510100,2100,9, ,1,0,12101,365190.973255,560422.757678,1,1975 to 1979,3062881.0
79166,A071073, ,,1979,10500,1101,1, ,1,0,62132,355590.973255,592672.757678,1,1975 to 1979,3062881.0
